Odds Ratio,PPV,Youden's J Index
1.8,0.4,0.5903450623915087
1.2,0.4,0.5903450623915087
3.0,0.4,0.4977645280972936
3.0,0.5,0.45079788148884786
1.8,0.5,0.45079788148884786
1.2,0.5,0.45079788148884786
3.0,0.6,0.27960147715551104
1.2,0.6,0.27960147715551104
1.8,0.6,0.27960147715551104
6.0,0.5,0.17855609058782493
6.0,0.6,0.17855609058782493
6.0,0.4,0.17855609058782493
12.0,0.9,0.04170860913387275
1.2,0.8,0.04170860913387275
12.0,0.95,0.04170860913387275
50.0,0.4,0.04170860913387275
20.0,0.95,0.04170860913387275
12.0,0.5,0.04170860913387275
50.0,0.8,0.04170860913387275
20.0,0.9,0.04170860913387275
20.0,0.4,0.04170860913387275
1.2,0.9,0.04170860913387275
1.8,0.95,0.04170860913387275
50.0,0.95,0.04170860913387275
50.0,0.5,0.04170860913387275
20.0,0.5,0.04170860913387275
1.8,0.8,0.04170860913387275
3.0,0.9,0.04170860913387275
6.0,0.8,0.04170860913387275
1.8,0.9,0.04170860913387275
12.0,0.8,0.04170860913387275
20.0,0.6,0.04170860913387275
3.0,0.95,0.04170860913387275
1.2,0.95,0.04170860913387275
6.0,0.95,0.04170860913387275
50.0,0.9,0.04170860913387275
50.0,0.6,0.04170860913387275
6.0,0.9,0.04170860913387275
20.0,0.8,0.04170860913387275
12.0,0.6,0.04170860913387275
3.0,0.8,0.04170860913387275
12.0,0.4,0.04170860913387275
50.0,0.99,0.0
inf,0.6,0.0
1.2,0.99,0.0
3.0,0.99,0.0
inf,0.5,0.0
1.8,0.99,0.0
inf,0.8,0.0
inf,0.99,0.0
6.0,0.99,0.0
12.0,0.99,0.0
inf,0.4,0.0
inf,0.95,0.0
20.0,0.99,0.0
inf,0.9,0.0
